image,text
image1991,imagine a group of people filled with so much hatred they have to make laws making it illegal to hate them
image1994,the face i make when they still believe in the holocaust being real and have no idea ww2 was started by the zionist jews to bring back germany under jewish control
image1997,back off f'ing white male we are on a sex strike
image1998,even if you cut your penis you will never be a woman
image1999,-your pug is cute as hell -that's my son
image2000,we have 3 apples. we give away 2 apples now calculate the radius on the bomb blast
image2006,"i don't want trump's face on mount rushmore. i want it chisled onto the moon so liberals, mexicans and muslims never get a good night's sleep"
image2010,ahmed has 3 apples. he gives muhammad 2 apples now calculate the radius on the bomb blast
image2013,"teacher: \"" ok class, bring out your calculators\"" mohammed:"
image2014,"all i want to do is move to your country, rape your women, bomb your buses, ripot in your streets and demand that you accept my religion why can't you be more tolerant?"
image2015,sexbomb sexbomb you are my sexbomb
image2021,obama voters
image2022,when wwe has a ppv in world war ll germany incineration chamber
image2024,a good asian driver
image2025,good asian '' ''
image2028,once you go black so does your eye
image2029,ever notice that christians are bad drivers
image2030,d.j. osama spin laden droppin' beats like the twin towers
image2034,islam is the religion of peace! if you don't agree i kill you!
image2035,felt cute. might kill your toddler later. idk.
image2036,"when the exchange student from america pulls out his assault rifle \""we don't do that here"
image2038,i just realized we know we don't want him in the same bathroom with our wives
image2039,first they laugh then they imitate
image2040,a great way of serving your country
image2042,hating the jews is a great honor for me and it makes me walk with my head high
image2044,"my black flag brings all the goats to the yard, watch out, i'll put a bomb in your car and the're like \""allahu akbar\"" i could teach you, but i lost my arms"
image2046,with black power comes no responsibility
image2049,the new space saving dishwasher you can hang it anywhere!
image2050,everyone jews why does the world hate us ?
image2051,how do you know if a black guy is well hung? you can't fit your finger between the rope and it's neck!!
image2052,ahmed mohamed reminds us to set our bombs 1 hour ahead this weekend
image2053,hmmm minyoda i am beat women i must
image2055,how to get a black guy to see his baby
image2057,i agree hi 5 bro
image2058,we love your political correctness and tolerance it's our greatest weapon against you!!!
image2060,when you walk into the waiting room at the ford service dept
image2061,peinigger
image2064,ever tried african food? niether have they
image2067,the ku klux klan killed 3446 blacks in a span of 86 years since 2016 blacks killed 1891 other blacks in chicago alone
image2068,good things small packages
image2070,when you're the only dog left at the dog shelter and the black family wants to adopt you
image2071,happy cinco de ported!
image2075,"armed with the knowledge that aids only kills the gays, ernie tells bert to take his new found gift and spread it to the masses"
image2076,your hate makes us stronger
image2077,anne franks nudes exposed
image2079,did you know? women have small feet so they can stand closer to the sink
image2080,the muslim on the front door be like: no full auto in buildings
image2081,i hate cupcakes and women
image2082,hey dont blame me for a bad economy! you wanted me just to kill muslims for you!
image2083,i was gonna make a muslim joke but they always blow up in your face gotta be careful
image2084,gay people fear me so why is it called homophobia? a phobia is a fear of something i do not fear gay people
image2086,"\""that's the way, allah, allah i like it\"" put'n the \""ham\"" in mohamed"
image2090,ankle compilaion when you stoned your 3rd wife yesterday and you're lonely
image2092,"roses are red, violets are blue mexicans are rapists, and so am i"
image2093,when your dishwasher is broken so you take it back to walmart to get a new one
image2096,it explodes on penatration new military drone to fight isis
image2099,"ben was born without eyelids so they circumcised him and used the skin the operation was a success, he's just a little cockeyed!"
image2102,i have a dream  that one day my people will not act like animals
image2103,when someone drops a penny
image2105,sure cancer is bad but you know what's worse? nigas
image2107,when muslims have been slaughtering millions of innocent people across hundreds of countries and finally someone gives them a taste of their own medicine
image2109,that's enough facebook for today  this sammich isn't going to make itself!
image2110,"israel we teach, terrorism,sir!"
image2112,a serbian man
image2115,why do muslim woman wear a mask it's easier to hide their fur
image2116,"put'n the \""ham\"" in mohamed"
image2119,a monkey wearing makeup and a dress does not make it a woman and a man wearing makeup and a dress is also not a woman
image2120,know why colored people have all those air freshener in their cars? they can't stand the smell of ni**er either!
image2122,"never let anyone tell you what you can or cannot do. just look at beethoven. everyone told him he would never be a musician, just because he was deaf but did he listen?"
image2123,how they see how i see
image2127,1400 years of islamic progress
image2128,smash gender stereotypes all men are potential rapists
image2132,pork dripping rub the only way to keep your children safe in rotherham
image2133,blacks when they hear kilometers per hour instead of monkeys per yard
image2134,just bought my first slow cooker
image2136,you're an awesome nigger!
image2137,i just hired a gorgeous blond swede with big tits and long legs as babysitter anyone know where i can find a baby like real quick?
image2138,there's so much white trash in this picture i barely know where to start!
image2139,not all black people are criminals
image2140,thanks to john deere black lives haven't mattered for a long time
image2141,israel's target practice one child's eye is a mistake. one hundred fifty-nine is a policy
image2147,a black man invention ''
image2148,"trump supporters because why learn the facts, when you can mindlessly preach hate?"
image2150,the first annual mohammed-a-thon
image2151,how to pick chicks in auschwitz
image2152,"each oven could only burn less than 6000 bodies per year, or the metal would fracture tone"
image2153,the porn again christian
image2154,it's ma'am look i found a penis
image2155,if asians got random english tattoos too it means love in english!
image2156,how come every week black police don't kill unarmed white males?
image2157,"taking on a job at the morgue, ernie has finally found a way to do good in the world. if all those girls die as virgins, they should at least not be buried as such"
image2160,get the hell out muslim! you are not wanted here !!!
image2162,"charles martel from the year 732 explains how he kept france safe from muslims \""i slaughtered every single one of those savages, until they retreated back to the third world, poverty stricken hell hole, from which they came.\"""
image2163,you see little black children i see hundreds of thousands in welfare and future incarcerations
image2164,greetings white person time to die
image2165,don't let this group get you downs
image2166,when your dive instructor starts yelling in aribic
image2168,when the media blames all violence on black people we've forgotten the crackers!
image2169,my sense of humor is so dark it picks this
